	nse	cobertura_salud	alcance_cobertura_salud	fuente_ingresos	prestaciones_estatales	origen_ingreso_principal	solicitud_ayuda_pandemia	atencion_salud_dificultades_pre_pandemia	atencion_salud_dificultades_pre_pandemia_detalle	covid_positivo_dificultades	atencion_salud_acceso_informacion_origen	informacion_medidas_educativas_origen
12	Alto	Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Otras	NA	A través de redes sociales	NA
13	Medio alto	Obra social por trabajo o sindicato, Prepaga por Obra Social	Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
14	Alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de los propios servicios de salud	A través de los docentes o directivos de las instituciones educativas
15	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta, Otras	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Otras	NA	A través de redes sociales	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
16	Alto	Obra social por trabajo o sindicato	Atención médica básica, Estudios complementarios y análisis	Trabajo, Otra fuente	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Sentirse discriminado a la hora de solicitar atención	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	NA
17	Medio Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica	Jubilación / Pensión	Asignación Universal por Hijo	Jubilación / pensión	Ninguno	Vivir lejos de los centros de atención médica, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
18	Alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Programa estatal, Ayuda social o familiar	Ninguna de las anteriores	Eventual (por changas)	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud	A través de los docentes o directivos de las instituciones educativas
19	Medio Bajo	PAMI	Atención médica básica, Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	NA
20	Medio Bajo	PAMI, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión, Programa estatal, Ayuda social o familiar	Asignación Universal por Hijo	Jubilación / pensión	Comedor o merendero barrial	Dificultades para que los médicos /as entiendan sus dolencias, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
21	Medio Bajo	No tiene cobertura	NA	Trabajo, Ayuda social o familiar	Asignación Universal por Hijo	Eventual (por changas)	Otro	Sentirse discriminado a la hora de solicitar atención, Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Dificultades para que los médicos /as entiendan sus dolencias, Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
22	Medio Bajo	Prepaga por Obra Social	Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
23	Alto	Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal, Empresa o negocio propio	Ninguno	No tuvo ninguna dificultad	Otras	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	A través de los docentes o directivos de las instituciones educativas
24	Alto	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Posponer intervenciones quirúrgicas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	NA
25	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud	A través de los docentes o directivos de las instituciones educativas
26	Bajo	Obra social por trabajo o sindicato, Prepaga por Obra Social	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión, Empresa o negocio propio	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
27	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión, Programa estatal	Ninguna de las anteriores	Trabajo informal (en negro), Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de familiares/amigos/vecinos	A través de los docentes o directivos de las instituciones educativas
28	Bajo	Prepaga por Obra Social	Atención médica básica, Estudios complementarios y análisis	Trabajo, Ayuda social o familiar	Asignación Universal por Hijo, Seguro de desempleo	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	Acceder al testeo en caso de tener síntomas	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
29	Bajo	No tiene cobertura	NA	Trabajo	Asignación Universal por Hijo	Trabajo informal (en negro)	Ayuda de familiares o amigos	Dificultades económicas para afrontar los gastos en salud., Dificultades para que los médicos /as entiendan sus dolencias, Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos
30	Bajo	No tiene cobertura	NA	Trabajo, Programa estatal	Asignación Universal por Hijo	Empresa o negocio propio	Ninguno	Sentirse discriminado a la hora de solicitar atención, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención	Acceder al testeo en caso de tener síntomas, Acceder al seguimiento de los servicios médicos	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales
31	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Salario Social Complementario	Trabajo formal	Ninguno	Vivir lejos de los centros de atención médica	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
32	Bajo	No tiene cobertura	NA	Trabajo, Programa estatal	Salario Social Complementario	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
33	Medio Bajo	PAMI, Prepaga por pago voluntario	NA	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Empresa o negocio propio	Ninguno	Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	NA
34	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ayuda de familiares o amigos	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Posponer intervenciones quirúrgicas	NA	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	NA
35	Medio	PAMI	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Otras	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa	NA
36	Medio	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Agrupación o partido político	Tiempo de espera excesivos para acceder a la consulta	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	NA
37	Medio Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
38	Medio Bajo	Prepaga por pago voluntario	Atención médica básica	Trabajo	Ninguna de las anteriores	Eventual (por changas)	Agrupación o partido político, Ayuda de familiares o amigos	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
39	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
40	Medio alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Programa estatal	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos	NA
41	Medio alto	PAMI, Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
42	Medio alto	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej), Ns / Nc	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
43	Medio alto	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), Otras	NA
44	Medio alto	PAMI, Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Jubilación / Pensión	NA	Jubilación / pensión	Ninguno	Dificultades para que los médicos /as entiendan sus dolencias	NA	NA	A través de medios masivos (televisión/radio/diarios)	NA
45	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Otras	Trabajo formal	NA	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de los docentes o directivos de las instituciones educativas
46	Medio alto	PAMI, Prepaga por pago voluntario	Ns / Nc	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No conocer cómo solicitar turnos	Dificultades para acceder a turnos médicos por escasez de atención	NA	A través de medios masivos (televisión/radio/diarios)	NA
47	Medio alto	PAMI, Obra social por trabajo o sindicato	Ns / Nc	Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	Dificultades económicas para afrontar los gastos en salud.	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios)	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas
48	Medio Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios)	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
49	Medio	Obra social por trabajo o sindicato	Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Vivir lejos de los centros de atención médica, Tiempo de espera excesivos para acceder a la consulta	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	NA
50	Medio	Prepaga por pago voluntario	Atención médica básica, Estudios complementarios y análisis	Trabajo	NA	Trabajo formal	Ninguno	Dificultades para que los médicos /as entiendan sus dolencias	NA	NA	NA	A través de redes sociales
51	Medio	Prepaga por Obra Social	Atención médica básica, Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej), Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Dificultades económicas para afrontar los gastos en salud., Dificultades para entender el diagnóstico realizado por los médicos, Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	Acceder a información sobre síntomas/cuidados/prevención frente al COVID19, Acceder al testeo en caso de tener síntomas	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios)
52	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad	NA	NA	A través de los docentes o directivos de las instituciones educativas
53	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental	Jubilación / Pensión, Programa estatal, Ayuda social o familiar	Salario Social Complementario	Trabajo formal	Ayuda de familiares o amigos	No tuvo ninguna dificultad	NA	Ninguna de las anteriores	A través de redes sociales	A través de redes sociales
54	Medio alto	Obra social por trabajo o sindicato	Ns / Nc	Trabajo	Ninguna de las anteriores	Eventual (por changas)	Ninguno	Otras	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	A través de medios masivos (televisión/radio/diarios)
55	Medio alto	Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Empresa o negocio propio	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales
56	Medio alto	Prepaga por Obra Social	Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	No conocer dónde recurrir cuando necesita atención médica	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas, Posponer intervenciones quirúrgicas	Acceder a información sobre síntomas/cuidados/prevención frente al COVID19, Acceder al testeo en caso de tener síntomas, Acceder al seguimiento de los servicios médicos, Acceder a atención médica adecuada: cama para internación/medicamentos/oxigeno/terapia intensiva	A través de familiares/amigos/vecinos	NA
57	Medio alto	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Otras	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios)	A través de medios masivos (televisión/radio/diarios)
58	Alto	PAMI, Prepaga por Obra Social, Prepaga por pago voluntario	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios), A través de los propios servicios de salud	NA
