"","Var1","Freq"
"11","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",1
"12","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.5 Posponer intervenciones quirúrgicas",2
"13","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",1
"14","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas",16
"15","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas",7
"16","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.5 Posponer intervenciones quirúrgicas",1
"17","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",2
"18","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.5 Posponer intervenciones quirúrgicas",6
"19","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",2
"20","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas",12
"21","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.5 Posponer intervenciones quirúrgicas",2
"22","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",4
"23","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad, 12.3.7 Otras",1
"24","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.7 Otras",2
"25","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.5 Posponer intervenciones quirúrgicas",4
"26","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",3
"27","12.3.1 Dificultades para acceder a turnos médicos por escasez de atención, 12.3.7 Otras",1
"28","12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad",2
"29","12.3.2 Dificultades para solicitar turnos de manera virtual por falta de conectividad, 12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas",2
"30","12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas",2
"31","12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.5 Posponer intervenciones quirúrgicas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",1
"32","12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",2
"33","12.3.3 Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, 12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",1
"34","12.3.4 Dificultades económicas para pagar consultas, medicamentos, análisis médicos, estudios y especialidades médicas",2
"35","12.3.5 Posponer intervenciones quirúrgicas",3
"36","12.3.5 Posponer intervenciones quirúrgicas, 12.3.7 Otras",1
"37","12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad",2
"38","12.3.6 Dificultades para llegar a algún servicio de salud por las restricciones a la movilidad, 12.3.7 Otras",1
"39","12.3.7 Otras",11
"40","Dificultades para que los atiendan",1
"41","Llamaron al servicio de emergencia y no llegó",1
"42","Termino pagando a parte una operación por problemas de la obra social",1
